ID,Category,Question,Answer,Difficulty,Cleaned_Question,Cleaned_Answer
1,AI (Data Science),What is the difference between supervised and unsupervised learning?,Answer: Supervised learning uses labeled data to train models while unsupervised learning uses unlabeled data to identify patterns.,Easy,difference supervised unsupervised learning,answer supervised learning us labeled data train model unsupervised learning us unlabeled data identify pattern
2,AI (Data Science),Can you explain what a confusion matrix is?,Answer: A confusion matrix is a table used to evaluate the performance of a classification model by comparing predicted labels with true labels.,Medium,explain confusion matrix,answer confusion matrix table used evaluate performance classification model comparing predicted label true label
3,AI (Data Science),What is overfitting in machine learning?,"Answer: Overfitting occurs when a model learns the training data too well, including noise, leading to poor generalization on new data.",Medium,overfitting machine learning,answer overfitting occurs model learns training data well including noise leading poor generalization new data
4,AI (Data Science),What are the main types of machine learning algorithms?,"Answer: The main types include supervised learning, unsupervised learning, semi-supervised learning, and reinforcement learning.",Easy,main type machine learning algorithm,answer main type include supervised learning unsupervised learning semisupervised learning reinforcement learning
5,AI (Data Science),What is the purpose of feature scaling?,Answer: Feature scaling ensures that different features contribute equally to the distance calculations in algorithms like KNN and SVM.,Medium,purpose feature scaling,answer feature scaling ensures different feature contribute equally distance calculation algorithm like knn svm
6,AI (Data Science),What is a decision tree?,"Answer: A decision tree is a flowchart-like structure used for classification and regression tasks, where decisions are made based on feature values.",Easy,decision tree,answer decision tree flowchartlike structure used classification regression task decision made based feature value
7,AI (Data Science),Explain the concept of cross-validation.,Answer: Cross-validation is a technique used to assess how the results of a statistical analysis will generalize to an independent dataset.,Medium,explain concept crossvalidation,answer crossvalidation technique used assess result statistical analysis generalize independent dataset
8,AI (Data Science),What is a neural network?,"Answer: A neural network is a computational model inspired by the human brain, consisting of interconnected nodes that process information.",Easy,neural network,answer neural network computational model inspired human brain consisting interconnected node process information
9,AI (Data Science),What is the purpose of a learning rate in training models?,Answer: The learning rate determines the step size at each iteration while moving toward a minimum of the loss function during training.,Medium,purpose learning rate training model,answer learning rate determines step size iteration moving toward minimum loss function training
10,AI (Data Science),What are precision and recall?,Answer: Precision measures the accuracy of positive predictions while recall measures the ability to find all relevant instances in a dataset.,Medium,precision recall,answer precision measure accuracy positive prediction recall measure ability find relevant instance dataset
11,AI (Data Science),What is the bias-variance tradeoff?,Answer: The bias-variance tradeoff is the balance between the error due to bias (underfitting) and error due to variance (overfitting) in a model.,Hard,biasvariance tradeoff,answer biasvariance tradeoff balance error due bias underfitting error due variance overfitting model
12,AI (Data Science),What are hyperparameters in machine learning?,"Answer: Hyperparameters are configuration settings used to control the learning process, such as learning rate and number of trees in a forest.",Medium,hyperparameters machine learning,answer hyperparameters configuration setting used control learning process learning rate number tree forest
13,AI (Data Science),Can you explain what an ensemble method is?,"Answer: Ensemble methods combine multiple models to produce a better-performing model, such as bagging, boosting, and stacking.",Medium,explain ensemble method,answer ensemble method combine multiple model produce betterperforming model bagging boosting stacking
14,AI (Data Science),What is reinforcement learning?,Answer: Reinforcement learning is an area of machine learning where an agent learns to make decisions by taking actions in an environment to maximize cumulative reward.,Hard,reinforcement learning,answer reinforcement learning area machine learning agent learns make decision taking action environment maximize cumulative reward
15,AI (Data Science),What is the purpose of regularization in machine learning?,Answer: Regularization is used to prevent overfitting by adding a penalty to the loss function for large coefficients.,Medium,purpose regularization machine learning,answer regularization used prevent overfitting adding penalty loss function large coefficient
16,AI (Data Science),What is natural language processing (NLP)?,"Answer: Natural language processing is a field of AI that enables computers to understand, interpret, and respond to human language in a meaningful way.",Easy,natural language processing nlp,answer natural language processing field ai enables computer understand interpret respond human language meaningful way
17,AI (Data Science),Can you explain what gradient descent is?,Answer: Gradient descent is an optimization algorithm used to minimize the loss function by iteratively moving towards the steepest descent direction.,Medium,explain gradient descent,answer gradient descent optimization algorithm used minimize loss function iteratively moving towards steepest descent direction
18,AI (Data Science),What are the differences between L1 and L2 regularization?,"Answer: L1 regularization adds absolute values of coefficients to the loss, promoting sparsity, while L2 adds squared values, preventing large coefficients.",Hard,difference l l regularization,answer l regularization add absolute value coefficient loss promoting sparsity l add squared value preventing large coefficient
19,AI (Data Science),What is a support vector machine (SVM)?,Answer: A support vector machine is a supervised learning algorithm that finds the hyperplane that best separates different classes in the feature space.,Medium,support vector machine svm,answer support vector machine supervised learning algorithm find hyperplane best separate different class feature space
20,AI (Data Science),Explain the concept of clustering.,Answer: Clustering is an unsupervised learning technique that groups similar data points together based on certain features without prior labels.,Medium,explain concept clustering,answer clustering unsupervised learning technique group similar data point together based certain feature without prior label
21,AI (Data Science),What are outliers and how do they affect machine learning models?,Answer: Outliers are data points that differ significantly from other observations and can skew results and affect the performance of machine learning models.,Medium,outlier affect machine learning model,answer outlier data point differ significantly observation skew result affect performance machine learning model
22,AI (Data Science),Can you explain what PCA (Principal Component Analysis) is?,"Answer: PCA is a dimensionality reduction technique that transforms data into a new coordinate system, reducing the number of features while preserving variance.",Hard,explain pca principal component analysis,answer pca dimensionality reduction technique transforms data new coordinate system reducing number feature preserving variance
23,AI (Data Science),What is the significance of the ROC curve?,"Answer: The ROC curve illustrates the diagnostic ability of a binary classifier as its discrimination threshold is varied, plotting true positive rate against false positive rate.",Medium,significance roc curve,answer roc curve illustrates diagnostic ability binary classifier discrimination threshold varied plotting true positive rate false positive rate
24,AI (Data Science),What is the purpose of data preprocessing?,"Answer: Data preprocessing is essential for cleaning and transforming raw data into a suitable format for analysis, improving model performance.",Easy,purpose data preprocessing,answer data preprocessing essential cleaning transforming raw data suitable format analysis improving model performance
25,AI (Data Science),What is a random forest?,Answer: A random forest is an ensemble learning method that constructs multiple decision trees during training and outputs the mode of their predictions for classification tasks.,Medium,random forest,answer random forest ensemble learning method construct multiple decision tree training output mode prediction classification task
26,AI (Data Science),Describe the k-means clustering algorithm.,Answer: K-means clustering partitions data into k clusters by iteratively assigning points to the nearest cluster centroid and recalculating centroids.,Medium,describe kmeans clustering algorithm,answer kmeans clustering partition data k cluster iteratively assigning point nearest cluster centroid recalculating centroid
27,AI (Data Science),What is the difference between classification and regression?,Answer: Classification predicts categorical labels while regression predicts continuous numerical values.,Easy,difference classification regression,answer classification predicts categorical label regression predicts continuous numerical value
28,AI (Data Science),What is transfer learning?,"Answer: Transfer learning leverages knowledge gained from one task to improve performance on a related task, often using pre-trained models.",Hard,transfer learning,answer transfer learning leverage knowledge gained one task improve performance related task often using pretrained model
29,AI (Data Science),Explain the concept of time series analysis.,"Answer: Time series analysis involves methods for analyzing time-ordered data points to identify patterns, trends, and seasonal variations.",Medium,explain concept time series analysis,answer time series analysis involves method analyzing timeordered data point identify pattern trend seasonal variation
30,AI (Data Science),What is a loss function?,"Answer: A loss function quantifies how well a model's predictions match the actual data, guiding the optimization process during training.",Easy,loss function,answer loss function quantifies well model prediction match actual data guiding optimization process training
31,AI (Data Science),What is a generative adversarial network (GAN)?,"Answer: A GAN consists of two neural networks, a generator and a discriminator, that compete against each other to generate new, synthetic data.",Hard,generative adversarial network gan,answer gan consists two neural network generator discriminator compete generate new synthetic data
32,AI (Data Science),How do you handle missing data in a dataset?,"Answer: Missing data can be handled by imputation, deletion, or using algorithms that support missing values, depending on the dataset's context.",Medium,handle missing data dataset,answer missing data handled imputation deletion using algorithm support missing value depending datasets context
33,AI (Data Science),What are some common evaluation metrics for regression models?,"Answer: Common metrics include Mean Absolute Error (MAE), Mean Squared Error (MSE), and R-squared.",Medium,common evaluation metric regression model,answer common metric include mean absolute error mae mean squared error mse rsquared
34,AI (Data Science),What is the curse of dimensionality?,"Answer: The curse of dimensionality refers to various phenomena that arise when analyzing and organizing data in high-dimensional spaces, leading to sparsity.",Hard,curse dimensionality,answer curse dimensionality refers various phenomenon arise analyzing organizing data highdimensional space leading sparsity
35,AI (Data Science),What is the purpose of a validation set in machine learning?,Answer: A validation set is used to tune hyperparameters and assess the model's performance before testing it on the final test set.,Medium,purpose validation set machine learning,answer validation set used tune hyperparameters assess model performance testing final test set
36,AI (Data Science),What is bagging in ensemble methods?,"Answer: Bagging, or bootstrap aggregating, involves training multiple models on different subsets of data and combining their predictions to reduce variance.",Medium,bagging ensemble method,answer bagging bootstrap aggregating involves training multiple model different subset data combining prediction reduce variance
37,AI (Data Science),"Can you explain the term ""data leakage""?","Answer: Data leakage occurs when information from outside the training dataset is used to create the model, leading to overoptimistic performance estimates.",Hard,explain term data leakage,answer data leakage occurs information outside training dataset used create model leading overoptimistic performance estimate
